timestamp,container,cpu_usage,mem_usage,net_io,block_io,pids
2025-02-14 19:03:39,edge-thread-router-init-1,0.00%,0B / 0B,30.5kB / 892B,0B / 0B,1
2025-02-14 19:03:39,thread-router,0.03%,0B / 0B,5.96kB / 26.6kB,2.59MB / 0B,10
2025-02-14 19:03:39,edge-edge-1,0.03%,0B / 0B,33.3kB / 2.41kB,393kB / 0B,3
2025-02-14 19:03:39,edge-watchtower-1,0.00%,0B / 0B,31.8kB / 892B,0B / 0B,8
2025-02-14 19:03:47,edge-thread-router-init-1,0.00%,0B / 0B,30.5kB / 892B,0B / 0B,1
2025-02-14 19:03:47,thread-router,0.02%,0B / 0B,5.96kB / 26.6kB,2.59MB / 0B,10
2025-02-14 19:03:47,edge-edge-1,0.02%,0B / 0B,33.3kB / 2.41kB,393kB / 0B,3
2025-02-14 19:03:47,edge-watchtower-1,0.00%,0B / 0B,31.8kB / 892B,0B / 0B,8
2025-02-14 19:03:54,edge-thread-router-init-1,0.00%,0B / 0B,30.5kB / 892B,0B / 0B,1
2025-02-14 19:03:54,thread-router,0.04%,0B / 0B,5.96kB / 26.6kB,2.59MB / 0B,10
2025-02-14 19:03:54,edge-edge-1,0.02%,0B / 0B,33.3kB / 2.41kB,393kB / 0B,3
2025-02-14 19:03:54,edge-watchtower-1,0.00%,0B / 0B,31.8kB / 892B,0B / 0B,8
2025-02-14 19:04:02,edge-thread-router-init-1,0.00%,0B / 0B,30.6kB / 892B,0B / 0B,1
2025-02-14 19:04:02,thread-router,0.02%,0B / 0B,5.96kB / 26.7kB,2.59MB / 0B,10
2025-02-14 19:04:02,edge-edge-1,0.02%,0B / 0B,33.4kB / 2.41kB,393kB / 0B,3
2025-02-14 19:04:02,edge-watchtower-1,0.00%,0B / 0B,31.9kB / 892B,0B / 0B,8
2025-02-14 19:04:10,edge-thread-router-init-1,0.00%,0B / 0B,30.6kB / 892B,0B / 0B,1
2025-02-14 19:04:10,thread-router,0.03%,0B / 0B,5.96kB / 26.7kB,2.59MB / 0B,10
2025-02-14 19:04:10,edge-edge-1,0.03%,0B / 0B,33.5kB / 2.55kB,393kB / 0B,3
2025-02-14 19:04:10,edge-watchtower-1,0.00%,0B / 0B,31.9kB / 892B,0B / 0B,8
2025-02-14 19:04:17,edge-thread-router-init-1,0.00%,0B / 0B,30.6kB / 892B,0B / 0B,1
2025-02-14 19:04:17,thread-router,0.29%,0B / 0B,5.96kB / 26.7kB,2.59MB / 0B,10
