timestamp,container,cpu_usage,mem_usage,net_io,block_io,pids
2025-02-14 17:58:29,edge-thread-router-init-1,0.00%,0B / 0B,31.2kB / 892B,0B / 0B,1
2025-02-14 17:58:29,thread-router,0.05%,0B / 0B,5.53kB / 27.4kB,0B / 0B,10
2025-02-14 17:58:29,edge-edge-1,0.04%,0B / 0B,41.8kB / 8.64kB,0B / 0B,3
2025-02-14 17:58:29,edge-watchtower-1,0.00%,0B / 0B,32.1kB / 892B,0B / 0B,8
2025-02-14 17:58:37,edge-thread-router-init-1,0.00%,0B / 0B,31.2kB / 892B,0B / 0B,1
2025-02-14 17:58:37,thread-router,0.53%,0B / 0B,5.53kB / 27.4kB,0B / 0B,10
2025-02-14 17:58:37,edge-edge-1,0.04%,0B / 0B,41.8kB / 8.64kB,0B / 0B,3
2025-02-14 17:58:37,edge-watchtower-1,0.00%,0B / 0B,32.1kB / 892B,0B / 0B,8
2025-02-14 17:58:45,edge-thread-router-init-1,0.00%,0B / 0B,31.2kB / 892B,0B / 0B,1
2025-02-14 17:58:45,thread-router,0.04%,0B / 0B,5.53kB / 27.4kB,0B / 0B,10
2025-02-14 17:58:45,edge-edge-1,0.05%,0B / 0B,41.8kB / 8.64kB,0B / 0B,3
2025-02-14 17:58:45,edge-watchtower-1,0.00%,0B / 0B,32.1kB / 892B,0B / 0B,8
2025-02-14 17:58:52,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:58:52,thread-router,0.28%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:58:52,edge-edge-1,0.03%,0B / 0B,41.9kB / 8.74kB,0B / 0B,3
2025-02-14 17:58:52,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:00,pathfinder,263.82%,0B / 0B,0B / 0B,0B / 0B,23
2025-02-14 17:59:00,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:00,thread-router,0.05%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:00,edge-edge-1,0.08%,0B / 0B,42.1kB / 8.96kB,0B / 0B,13
2025-02-14 17:59:00,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:08,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:08,thread-router,0.02%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:08,edge-edge-1,0.22%,0B / 0B,42.2kB / 9.11kB,0B / 0B,3
2025-02-14 17:59:08,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:15,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:15,thread-router,0.57%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:15,edge-edge-1,7.22%,0B / 0B,42.4kB / 9.25kB,0B / 0B,13
2025-02-14 17:59:15,edge-watchtower-1,0.01%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:23,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:23,thread-router,0.04%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:23,edge-edge-1,0.08%,0B / 0B,42.6kB / 9.49kB,0B / 0B,13
2025-02-14 17:59:23,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:31,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:31,thread-router,0.04%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:31,edge-edge-1,0.05%,0B / 0B,42.8kB / 9.68kB,0B / 0B,3
2025-02-14 17:59:31,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:38,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 17:59:38,thread-router,0.03%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 17:59:38,edge-edge-1,0.60%,0B / 0B,43.1kB / 9.97kB,0B / 0B,3
2025-02-14 17:59:38,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 17:59:46,pathfinder,235.23%,0B / 0B,0B / 0B,0B / 0B,23
